days_alive,work_days,spec_days,rest_days,final_cash
1418,621,378,419,46600.488568203116
353,182,104,67,23243.719260464557
9621,1661,3899,4061,-3002794.6487266924
2494,952,783,759,35766.99719395775
2136,574,912,650,-18706.676115528182
450,75,310,65,-20981.732147445036
459,46,351,62,-22952.15527484679
800,85,578,137,-55309.77195223661
387,48,292,47,-20553.78002524747
29200,1987,5232,21981,-77182839739.42929
29200,3531,12635,13034,-18306372359.584267
3244,412,1885,947,-148798.36840015752
501,61,365,75,-296.26993489673
299,26,248,25,-5195.937421604352
552,65,402,85,-12926.893353156536
383,22,320,41,-26409.51806549544
450,24,370,56,-40826.5216436788
396,28,322,46,-40215.24315420765
399,31,322,46,-18802.291770672477
447,60,325,62,-6232.454684639809
317,34,252,31,-6974.5557683795605
365,25,302,38,-13065.49366707597
291,17,252,22,-10046.144059281594
347,23,290,34,-4532.417135737814
377,33,302,42,-20844.6534082446
278,19,239,20,-11629.195985955515
320,15,278,27,-26030.85796182695
354,24,292,38,-21595.91352564764
283,27,233,23,-6754.578628508165
311,26,256,29,-11550.968037797415
307,23,258,26,-17710.807031502776
339,24,282,33,-17690.038525695887
313,32,252,29,-9652.271974350298
277,23,234,20,-11414.658137089917
399,31,322,46,-22486.66814063827
355,14,307,34,-29895.418256611043
466,52,350,64,-3261.2436320292036
325,41,248,36,279.75938725099934
355,55,258,42,-5268.4752317214015
411,29,333,49,-37948.34907064463
470,52,353,65,-33512.62436732117
1523,372,809,342,-29115.59760285548
616,95,418,103,-27072.036819378434
432,48,328,56,-24274.42581366547
613,71,444,98,-18999.484589139003
743,58,553,132,-50007.64835645316
4468,496,2994,978,-850134.2678794859
1111,196,687,228,-36764.29249907547
